項目,目的・注意事項,ディオクリニック,エミナルクリニック,ウララクリニック,リエートクリニック,湘南美容クリニック
料金,案件詳細セクションの料金,通常価格24,800円<br>80%OFF 月々4,900円,モニタープラン<br>月額制で負担軽減,通常価格45,591円<br>79%0FF<br>月々9,780円,通常価格49,600円<br>80%0FF 月々9,600円,クールスカルプティング®<br>1エリア 29,800円～
目安期間,案件詳細セクションの目安期間,-5〜10kg：約3ヶ月<br>-10kg以上：約5ヶ月,3ヶ月コースが基本<br>個人の目標に合わせ調整可,-5〜10kg：約3ヶ月,-5〜10kg：約6ヶ月,施術内容による<br>ダウンタイムほとんどなし
営業時間,案件詳細セクションの営業時間,平日11:00〜20:00<br>土日祝日10:00〜19:00<br>休診日：年末年始,多くの院で11:00〜21:00<br>店舗により異なる,平日10:00〜20:00<br>土日祝日10:00〜20:00,平日10:00〜20:00<br>土日祝日10:00〜20:00<br>休診日：年末年始,店舗により異なる<br>多くは10:00〜19:00
対応部位,案件詳細セクションの対応部位,顔全体／二の腕／お腹／お尻／太もも／その他,全身対応<br>お腹・二の腕・太もも・顔,顔全体／二の腕／お腹／お尻／太もも／その他 (全身),顔全体／二の腕／お腹／お尻／太もも／背中／ふくらはぎ／その他,お腹・二の腕・太もも・顔<br>全身の気になる部位
店舗,案件詳細セクションの店舗,北海道／宮城／東京／埼玉／<br>神奈川／千葉／愛知／京都／<br>大阪／兵庫／広島／福岡,全国60院以上<br>（北海道・東北・関東・中部・近畿・中国・四国・九州・沖縄）,東京 (新宿, 銀座),池袋／横浜／名古屋,日本全国および海外に展開
公式サイトURL,各クリニックの公式サイトURL,https://dioclinic.jp/,https://eminal-clinic.jp/,https://urara-clinic.jp/,https://lieto-clinic.jp/,https://www.s-b-c.net/
CTAボタン1テキスト,詳細セクションのCTAボタン1,無料カウンセリングはコチラ,無料カウンセリングはコチラ,無料カウンセリングはコチラ,無料カウンセリングはコチラ,無料カウンセリングはコチラ
CTAボタン2テキスト,詳細セクションのCTAボタン2,ディオクリニックの公式サイト,エミナルクリニックの公式サイト,ウララクリニックの公式サイト,リエートクリニックの公式サイト,湘南美容クリニックの公式サイト
POINT1タイトル,案件詳細セクションのPOINT1タイトル,専門家チームが徹底伴走！もう一人で悩まない,管理栄養士によるオンライン食事指導,専門家チームが徹底伴走！,専門家チームが徹底伴走！,経験豊富な医師の的確な診断
POINT1内容,案件詳細セクションのPOINT1内容,ディオクリニックでは医師・看護師・管理栄養士がチームであなたを徹底サポート！自己流ダイエットで挫折した方にもおすすめです。専門的な食事指導や生活改善アドバイスも受けられるから、ダイエットの悩みも解決！,エミナルクリニックでは管理栄養士によるオンラインでの食事指導が受けられます。LINEなどを使って手軽に相談できるので、継続しやすいと評判です。,医師・管理栄養士・看護師がチームであなたを徹底サポート！医学的観点と栄養学に基づき、多角的なアプローチで課題を解決。LINEでの相談も可能で、通院日以外も安心です。,医師・管理栄養士・看護師がチームであなたを徹底サポート！医学的観点と栄養学に基づき、多角的なアプローチで課題を解決。LINEでの相談も可能で、通院日以外も安心です。,湘南美容クリニックでは経験豊富な医師があなたの体質やライフスタイルに合わせて最適な痩身プランを提案します。一人一人に最適化された治療で確実な結果を目指します。
POINT2タイトル,案件詳細セクションのPOINT2タイトル,医療マシンをオーダーメイド！リバウンドしにくい身体へ,全国60院以上の安心ネットワーク,医療マシンをオーダーメイド！,医療マシンをオーダーメイド！,豊富なメニューで一人一人に最適化
POINT2内容,案件詳細セクションのPOINT2内容,脂肪冷却や医療EMSなど、複数の最新マシンをあなた専用に組み合わせ！寝ているだけで部分痩せや筋肉アップまで目指せるので、運動が苦手な方にもおすすめ。リバウンドしにくい体質づくりを目指せる！,エミナルクリニックは全国60院以上を展開しており、どこに住んでいても同じ品質の医療ダイエットを受けられます。安心・安全なネットワークで、あなたのボディメイクをサポートします。,厚労省承認の脂肪冷却機器をはじめ、複数の医療機器を個人の体質や目標に合わせてオーダーメイドで組み合わせ。切らずに、科学的根拠に基づいた部分痩せとリバウンドしにくい体質改善を目指せます。,厚労省承認の脂肪冷却機器をはじめ、複数の医療機器を個人の体質や目標に合わせてオーダーメイドで組み合わせ。切らずに、科学的根拠に基づいた部分痩せとリバウンドしにくい体質改善を目指せます。,湘南美容クリニックでは豊富なメニューを用意しており、あなたの悩みや目標に合わせて最適な治療を選択できます。クールスカルプティングから脂肪溶解注射まで、一人一人に最適化した痩身治療を提供します。
POINT3タイトル,案件詳細セクションのPOINT3タイトル,全額返金保証あり！効果が不安でも大丈夫,モニター満足度95%の実績,安心のサポートと保証制度,安心のサポートと保証制度,経験豊富な医師と安心サポート
POINT3内容,案件詳細セクションのPOINT3内容,ディオクリニックは効果に自信があるから、「全額返金保証制度」付き！もし効果を実感できなくても金銭的なリスクがないから、思い切ってチャレンジできます！,エミナルクリニックはモニター満足度95%という高い実績を誇っています。多くの方が結果に満足しており、あなたも安心して治療を始めていただけます。,無理な勧誘はなく、予算や目標を丁寧にヒアリングする姿勢が口コミでも高評価。万が一に備えた「全額返金保証制度」（※条件あり）も用意されており、安心してプログラムを開始できます。,無理な勧誘はなく、予算や目標を丁寧にヒアリングする姿勢が口コミでも高評価。万が一に備えた「全額返金保証制度」（※条件あり）も用意されており、安心してプログラムを開始できます。,湘南美容クリニックは経験豊富な医師が在籍し、あなたの不安や疑問に丁寧に答えます。最新の医療技術と安心のサポート体制で、理想のボディラインを実現します。
キャンペーンテキスト,INFORMATIONのキャンペーン内容,期間限定キャンペーン<br>12ヶ月分0円,モニター募集中<br>最大70%OFF,期間限定<br>最大79%OFF,新規限定<br>特別モニター価格,新規限定<br>お得なキャンペーン実施中
口コミ1タイトル（コスパ）,口コミセクション1つ目のタイトル（コスパタブ）,ストイックな運動より効果的！,25キロ減量に成功！,若い頃の体型に戻れました！,ストイックな運動より効果的！,ストイックな運動より効果的！
口コミ1内容（コスパ）,口コミセクション1つ目の内容（コスパタブ）,某スポーツジムでストイックに食事管理をしても減らなかった体重が、薬で無理なく減っていきビックリしました。え、あの辛い運動や糖質制限はなんだったんだろう…。,25キロ弱体重を落とせました。自分1人の力だけでは絶対になし得なかったので良かったと思ってます。,6カ月間通い終わり、80kgあった体重が62kgになり、体脂肪率は40%から27%に。昔のジーンズをはいてみたり、若い頃に戻ったようです。,某スポーツジムでストイックに食事管理をしても減らなかった体重が、薬で無理なく減っていきビックリしました。え、あの辛い運動や糖質制限はなんだったんだろう…。,某スポーツジムでストイックに食事管理をしても減らなかった体重が、薬で無理なく減っていきビックリしました。え、あの辛い運動や糖質制限はなんだったんだろう…。
口コミ2タイトル（コスパ）,口コミセクション2つ目のタイトル（コスパタブ）,2ヶ月で8キロ減！,3ヶ月で10キロ減！辛くない,不安からのスタートでしたが、今は大満足！,2ヶ月で8キロ減！,2ヶ月で8キロ減！
口コミ2内容（コスパ）,口コミセクション2つ目の内容（コスパタブ）,なかなかジムなどに通っても減らなくなってしまっていましたが、こちらに通い始めて2ヶ月ぐらいで8キロぐらい減らすことができました！,3ヶ月の契約をして結果10キロの減量できました。特に辛いこともなく順調だったと思います。,なんと85kgあった体重が70kgに！正直、最初は効果があるか不安でしたが、結果が出て大満足です。適正体重を取り戻せたので、今後もキープしたいです。,なかなかジムなどに通っても減らなくなってしまっていましたが、こちらに通い始めて2ヶ月ぐらいで8キロぐらい減らすことができました！,なかなかジムなどに通っても減らなくなってしまっていましたが、こちらに通い始めて2ヶ月ぐらいで8キロぐらい減らすことができました！
口コミ3タイトル（コスパ）,口コミセクション3つ目のタイトル（コスパタブ）,周りから痩せたと言われる！,きつい運動なしで6kg減！,見た目も体重も変化を実感！,周りから痩せたと言われる！,周りから痩せたと言われる！
口コミ3内容（コスパ）,口コミセクション3つ目の内容（コスパタブ）,2ヶ月たって、周りの人から痩せたねと言われることが多くなりました！サクセンダのおかげで空腹感をあまり感じずに食事制限することが出来ました！,3ヶ月で6kg減でした！(継続中) きつい運動や厳しい食事制限も無い中で、順調に体重減少しているので、良かったです。,今の時点では見た目にも体重的にも効果は出てきていると思うのでやって後悔はしていません。,2ヶ月たって、周りの人から痩せたねと言われることが多くなりました！サクセンダのおかげで空腹感をあまり感じずに食事制限することが出来ました！,2ヶ月たって、周りの人から痩せたねと言われることが多くなりました！サクセンダのおかげで空腹感をあまり感じずに食事制限することが出来ました！
口コミ1タイトル（通いやすさ）,口コミセクション1つ目のタイトル（通いやすさタブ）,言葉遣いが丁寧！,多角的なアプローチで効果的！,丁寧な対応と万全のフォローで安心,言葉遣いが丁寧！,言葉遣いが丁寧！
口コミ1内容（通いやすさ）,口コミセクション1つ目の内容（通いやすさタブ）,言葉遣いも、めちゃくちゃ丁寧で、こちらが恐縮してしまうくらい、しっかり教育もされていたので、毎回、気持ち良く通わせて頂きました。ありがとうございました。,医療美容ということで施術と並行して点滴や錠剤など多角的にダイエットと向き合いました。管理栄養士による栄養指導もあり、モチベーションを保つには最適な環境でした。,予約の取りやすさや対応の丁寧さが素晴らしい。施術後のフォローも含め、疑問や不安があればすぐに相談できて助かります！,言葉遣いも、めちゃくちゃ丁寧で、こちらが恐縮してしまうくらい、しっかり教育もされていたので、毎回、気持ち良く通わせて頂きました。ありがとうございました。,言葉遣いも、めちゃくちゃ丁寧で、こちらが恐縮してしまうくらい、しっかり教育もされていたので、毎回、気持ち良く通わせて頂きました。ありがとうございました。
口コミ2タイトル（通いやすさ）,口コミセクション2つ目のタイトル（通いやすさタブ）,清潔感があり丁寧な対応,スタッフが素晴らしい！,駅近で会社帰りにも◎,清潔感があり丁寧な対応,清潔感があり丁寧な対応
口コミ2内容（通いやすさ）,口コミセクション2つ目の内容（通いやすさタブ）,院内は清潔感があって、スタッフはどの方も丁寧で優しいです。距離感は付かず離れずの丁度良い感じでした。,関わっていただいた全てのスタッフの方々が本当に感じが良いので毎週通うのが苦ではなかったです。,駅近で会社帰りに行きやすく、仕事が終わってから毎回通わせていただいています。ここで独自に出されているプロテインは飲みやすく、置き換えしやすい。,院内は清潔感があって、スタッフはどの方も丁寧で優しいです。距離感は付かず離れずの丁度良い感じでした。,院内は清潔感があって、スタッフはどの方も丁寧で優しいです。距離感は付かず離れずの丁度良い感じでした。
口コミ3タイトル（通いやすさ）,口コミセクション3つ目のタイトル（通いやすさタブ）,栄養士さんが熱心！,運動嫌いでも6キロ減！,急な予定変更にも柔軟に対応！,栄養士さんが熱心！,栄養士さんが熱心！
口コミ3内容（通いやすさ）,口コミセクション3つ目の内容（通いやすさタブ）,受付の方の対応も、とても落ち着いていて且つ優しくて、ほっとします。栄養士さんが糖質の摂り方など、熱心に教えてくださるので、楽しくて勉強になります。,食習慣が変わったり運動が嫌いですが3〜4ヶ月で6キロほど体重も落ちました。予約も比較的取りやすく駅からも近いので無理なく通えました。,みなさん優しく、丁寧な対応をしていただけるので、安心して通えます！仕事都合で急なキャンセルや予約変更にも対応していただけるところも、通いやすいです！,受付の方の対応も、とても落ち着いていて且つ優しくて、ほっとします。栄養士さんが糖質の摂り方など、熱心に教えてくださるので、楽しくて勉強になります。,受付の方の対応も、とても落ち着いていて且つ優しくて、ほっとします。栄養士さんが糖質の摂り方など、熱心に教えてくださるので、楽しくて勉強になります。
口コミ1タイトル（スタッフ）,口コミセクション1つ目のタイトル（スタッフタブ）,人生一度きり！頑張ります,投薬なしで3キロ減！,接遇レベルの高さに感動！,人生一度きり！頑張ります,人生一度きり！頑張ります
口コミ1内容（スタッフ）,口コミセクション1つ目の内容（スタッフタブ）,今まで色んなことをしても痩せられなかったので、人生一度きりだと思い通うことを決めました。1ヶ月で、食事制限などが苦手な私でも、−５㌔落ちました！,初めに投薬なしで3ヶ月間リバースエイジングコースをし、体重が3㌔ほど痩せました。スタッフの方々も皆さん、優しく、毎日楽しく通わせてもらっています。,美容クリニックは施術が大事なのはもちろんですが、接遇のレベルが高いと次もまた来たくなりますね！スタッフの皆さんの気遣いが素晴らしく、いつも快適に過ごせてます。,今まで色んなことをしても痩せられなかったので、人生一度きりだと思い通うことを決めました。1ヶ月で、食事制限などが苦手な私でも、−５㌔落ちました！,今まで色んなことをしても痩せられなかったので、人生一度きりだと思い通うことを決めました。1ヶ月で、食事制限などが苦手な私でも、−５㌔落ちました！
口コミ2タイトル（スタッフ）,口コミセクション2つ目のタイトル（スタッフタブ）,栄養士の指導で結果が出た！,教育が行き届いている！,分かりやすいカウンセリング,栄養士の指導で結果が出た！,栄養士の指導で結果が出た！
口コミ2内容（スタッフ）,口コミセクション2つ目の内容（スタッフタブ）,栄養士の先生の指導と最先端の機材を使った施術でしっかりと結果が出ました。無理のない範囲で食事指導もして頂き、停滞したら新しい一手を提案して貰えるので、頑張れます。,16回の通院の中、医師、看護師、管理栄養士の方々の対応はとても丁寧で、教育が行き届いているという印象を受けました。,カウンセリングの際、その都度分からないことがあるか確認していただけたのでプランの内容も理解しやすかったです！看護師さん達もとても丁寧で、終始安心して受けられます。,栄養士の先生の指導と最先端の機材を使った施術でしっかりと結果が出ました。無理のない範囲で食事指導もして頂き、停滞したら新しい一手を提案して貰えるので、頑張れます。,栄養士の先生の指導と最先端の機材を使った施術でしっかりと結果が出ました。無理のない範囲で食事指導もして頂き、停滞したら新しい一手を提案して貰えるので、頑張れます。
口コミ3タイトル（スタッフ）,口コミセクション3つ目のタイトル（スタッフタブ）,1ヶ月半で簡単に体重が落ちた！,専門知識で安心施術！,心からおすすめしたいクリニック,1ヶ月半で簡単に体重が落ちた！,1ヶ月半で簡単に体重が落ちた！
口コミ3内容（スタッフ）,口コミセクション3つ目の内容（スタッフタブ）,約1か月半たち、自分ではどうしても落とさなかった体重が、簡単に落とせてびっくりです！通うたびに変化が出るので、とてもモチベーションが上がります！！,スタッフさんが明るくて優しかったので不安な施術も安心して受けられました。専門的な知識を教えてくださったり栄養指導もしてくれるので無理なく出来ました。,スタッフのみなさんお一人お一人がとてもご親切ご丁寧な対応で驚きました。リエートクリニックは本当におすすめなので、ぜひとも、たくさんの方に紹介したいです！！,約1か月半たち、自分ではどうしても落とさなかった体重が、簡単に落とせてびっくりです！通うたびに変化が出るので、とてもモチベーションが上がります！！,約1か月半たち、自分ではどうしても落とさなかった体重が、簡単に落とせてびっくりです！通うたびに変化が出るので、とてもモチベーションが上がります！！
